arabic_name,english_name,source,original_arabic,original_english,arabic_normalized,english_cleaned,arabic_length,english_length
المرزام,Al-Marzam,split,وادي موثب - المرزام,Wadi Muthab - Al-Marzam,المرزام,Al-Marzam,7,9
الصنمه,Al-Sanmah,split,الصنمه - المنتصر,Al-Sanmah - Al-Muntasir,الصنمه,Al-Sanmah,6,9
العكم,Al-Akam,split,وادي الشط - العكم,Wadi Al-Shatt - Al-Akam,العكم,Al-Akam,5,7
القشب,Al-Qashb,split,بني دريغم - القشب,Bani Drigham - Al-Qashb,القشب,Al-Qashb,5,8
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - شعب الحجين,Wadi Sa'adah - Sha'ab al-Hajin,وادي سعاده,Wadi Sa'adah,10,12
حصب الراحه,Hasab Al-Rahah,split,حنه العليا - حصب الراحه,Hanna Al-Ulya - Hasab Al-Rahah,حصب الراحه,Hasab Al-Rahah,10,14
الشبارة,Al-Shabara,split,الشبارة - الحدابه,Al-Shabara - Al-Hadaba,الشبارة,Al-Shabara,7,10
الوحيز,Al-Wahiz,split,الوحيز - المره العليا,Al-Wahiz - Al-Murra Al-'Ulya,الوحيز,Al-Wahiz,6,8
الضبيره,Ad-Dhabira,split,النشيفه - الضبيره,An-Nashifa - Ad-Dhabira,الضبيره,Ad-Dhabira,7,10
شعبو,Sha'bo,split,شعبو - اللجيعه العليا,Sha'bo - Al-Laji'ah Al-Ulya,شعبو,Sha'bo,4,6
الشبارة,Al-Shabarah,split,الشبارة - عقيلة,Al-Shabarah - Aqilah,الشبارة,Al-Shabarah,7,11
محاطبه,Mahatabah,split,محاطبه - القلب,Mahatabah - Al-Qalb,محاطبه,Mahatabah,6,9
الباقرية,Al-Baqiriyah,split,الكديحة - الباقرية,Al-Kadihah - Al-Baqiriyah,الباقرية,Al-Baqiriyah,8,12
النوبه,Al-Nawba,original,,,النوبه,Al-Nawba,6,8
المضبايه,Al-Madhbayah,split,العقمه - المضبايه,Al-Aqmah - Al-Madhbayah,المضبايه,Al-Madhbayah,8,12
الجبيه,al-Jubayyah,split,الجبيه - المكيمل,al-Jubayyah - al-Mukaymil,الجبيه,al-Jubayyah,6,11
الردف,Al-Radf,split,الردف - الشاقه,Al-Radf - Al-Shaqa,الردف,Al-Radf,5,7
النوبه,Al-Nuba,split,القطنه - النوبه,Al-Qatna - Al-Nuba,النوبه,Al-Nuba,6,7
مقدم راس,Muqaddam Ras,split,مقدم راس - البراح,Muqaddam Ras - Al-Barah,مقدم راس,Muqaddam Ras,8,12
بني عامر,Bani Amer,split,بني عامر - بيت الشميري,Bani Amer - Bayt al-Shamiri,بني عامر,Bani Amer,8,9
الجرب,al-Jarb,split,جحزر - الجرب,Jahzar - al-Jarb,الجرب,al-Jarb,5,7
الغيل,Al-Ghayl,split,الغيل - البكره,Al-Ghayl - Al-Bakrah,الغيل,Al-Ghayl,5,8
يعاقبه,Yaaqaba,split,يعاقبه - ثاعن,Yaaqaba - Tha’in,يعاقبه,Yaaqaba,6,7
العفيرة,Al-Afira,split,العفيرة - المجزع,Al-Afira - Al-Majza',العفيرة,Al-Afira,7,8
الرجحه,Al-Rajhah,split,الرجحه - دبيلة الربوه,Al-Rajhah - Dabilat Al-Rabwa,الرجحه,Al-Rajhah,6,9
جحزر,Jahzar,split,جحزر - الجرب,Jahzar - al-Jarb,جحزر,Jahzar,4,6
المزانده,Al-Mazanda,split,المزانده - دار جيهلان,Al-Mazanda - Dar Jihlan,المزانده,Al-Mazanda,8,10
الكدمه,Al-Kadmah,split,الكدمه - المقالد,Al-Kadmah - Al-Maqalid,الكدمه,Al-Kadmah,6,9
موزع,Mawza',split,موزع - الدائري الجنوبي,Mawza' - Al-Da'iri Al-Janoubi,موزع,Mawza',4,6
الادروس,Al-Adrous,split,الادروس - شعب سويد,Al-Adrous - Sha'ab Suwaid,الادروس,Al-Adrous,7,9
جحزر,Jahzar,split,جحزر - الضاحة,Jahzar - Al-Dahha,جحزر,Jahzar,4,6
شعبو,Sha'bu,split,شعبو - السلايم,Sha'bu - Al-Salayim,شعبو,Sha'bu,4,6
اكمه الحمر,Akmah Al-Hamr,split,بني حجاج - اكمه الحمر,Bani Hajjaj - Akmah Al-Hamr,اكمه الحمر,Akmah Al-Hamr,10,13
الشفرين,Al-Shafrayn,split,بني حجاج - الشفرين,Bani Hajjaj - Al-Shafrayn,الشفرين,Al-Shafrayn,7,11
الجبيه,al-Jubayyah,split,الجبيه - الجويح,al-Jubayyah - al-Juwayh,الجبيه,al-Jubayyah,6,11
العيصم,Al-Aysam,split,الحجافيه - العيصم,Al-Hajafiyah - Al-Aysam,العيصم,Al-Aysam,6,8
العيقل,Al-eiqal,split,يعاقبه - العيقل,Yaaqaba - Al-eiqal,العيقل,Al-eiqal,6,8
ذي خير,Dhi Khayr,split,النوازل - ذي خير,Al-Nawazil - Dhi Khayr,ذي خير,Dhi Khayr,6,9
دعلج,Da'laj,split,القشعه - دعلج,al-Qash'ah - Da'laj,دعلج,Da'laj,4,6
الحصيب,Al-Hasib,split,الحصيب - النشه,Al-Hasib - Al-Nashah,الحصيب,Al-Hasib,6,8
رداع - الشرف,Rada-Al-Sharf,original,,,رداع - الشرف,Rada-Al-Sharf,12,13
الزغبري,Al-Zaghbari,split,الزغبري - الشرخ,Al-Zaghbari - Al-Sharikh,الزغبري,Al-Zaghbari,7,11
يعاقبه,Yaaqaba,split,يعاقبه - الطفيلي,Yaaqaba - Altufayli,يعاقبه,Yaaqaba,6,7
العريش,Al-Arish,original,,,العريش,Al-Arish,6,8
المعامرة,Al-Ma'amara,split,المعامرة - المغر بة,Al-Ma'amara - Al-Maghriba,المعامرة,Al-Ma'amara,8,11
بني مليك,Bani Malik,split,بني مليك - العدف,Bani Malik - Al-Adaf,بني مليك,Bani Malik,8,10
المتين,Al-Mateen,split,حنه السفلى - المتين,Hannah Al-Sufla - Al-Mateen,المتين,Al-Mateen,6,9
بيت الشريف,Bayt Al-Sharif,split,الكويحه - بيت الشريف,Al-Kuwayhah - Bayt Al-Sharif,بيت الشريف,Bayt Al-Sharif,10,14
النوازل,Al-Nawazil,split,النوازل - القحفه,Al-Nawazil - Al-Qahfa,النوازل,Al-Nawazil,7,10
التريس,Al-Taris,split,الشقيراء - التريس,Al-Shaqira' - Al-Taris,التريس,Al-Taris,6,8
الدرج الاسفل,Al-Daraj Al-Asfal,split,الطوير - الدرج الاسفل,Al-Tuwair - Al-Daraj Al-Asfal,الدرج الاسفل,Al-Daraj Al-Asfal,12,17
الاجن,Al-Ajan,split,الكربه - الاجن,Al-Karbah - Al-Ajan,الاجن,Al-Ajan,5,7
الهجره,Al-Hijrah,split,الصنمه - الهجره,Al-Sanmah - Al-Hijrah,الهجره,Al-Hijrah,6,9
حنه العليا,Hannah Al-Ulya,split,حنه العليا - الهشام,Hannah Al-Ulya - Al-Hasham,حنه العليا,Hannah Al-Ulya,10,14
بوميه,Bumiya,split,بوميه - الضفيريه,Bumiya - Al-Dhafiriya,بوميه,Bumiya,5,6
المحجوره,Al-Mahjoura,split,الذنبه - المحجوره,Al-Dhanbah - Al-Mahjoura,المحجوره,Al-Mahjoura,8,11
بني حجاج,Bani Hajjaj,split,بني حجاج - الضروبه,Bani Hajjaj - Al-Dharubah,بني حجاج,Bani Hajjaj,8,11
بني دريغم,Bani Drigham,split,بني دريغم - السقعود,Bani Drigham - Al-Saq'ud,بني دريغم,Bani Drigham,9,12
السمايه,Al-Samayah,split,الصنمه - السمايه,Al-Sunmah - Al-Samayah,السمايه,Al-Samayah,7,10
بني دريغم,Bani Drigham,split,بني دريغم - المقضي,Bani Drigham - Al-Maqdi,بني دريغم,Bani Drigham,9,12
محاطبه,Mahatabah,split,محاطبه - العريديد,Mahatabah - Al-'Aridid,محاطبه,Mahatabah,6,9
الصـويره - الدارات,Al-Sawerah-Al-Darat,original,,,الصويره - الدارات,Al-Sawerah-Al-Darat,17,19
هوب  الوقيع,Hub Al-Waqi',split,هوب  الوقيع - المقيبرة,Hub Al-Waqi' - Al-Muqaybira,هوب الوقيع,Hub Al-Waqi',10,12
القطنى,al-Qatni,split,جحزر - القطنى,Jahzar - al-Qatni,القطنى,al-Qatni,6,8
الضيجه,Ad-Dhayjah,split,الضيجه - الدردعى,Ad-Dhayjah - Ad-Darda'i,الضيجه,Ad-Dhayjah,6,10
وادي الكبير,Wadi Al-Kabir,split,الجريب - وادي الكبير,Al-Jarib - Wadi Al-Kabir,وادي الكبير,Wadi Al-Kabir,11,13
المغربه السفلى,Al-Maghribah Al-Sufla,split,وادي مكسب - المغربه السفلى,Wadi Makasab - Al-Maghribah Al-Sufla,المغربه السفلى,Al-Maghribah Al-Sufla,14,21
وادي مكسب,Wadi Makasab,split,وادي مكسب - النزيهه,Wadi Makasab - Al-Nuzayhah,وادي مكسب,Wadi Makasab,9,12
العريش,Al-Arish,split,العريش - السبله,Al-Arish - Al-Sabla,العريش,Al-Arish,6,8
كحاح,Kahah,split,نمره - كحاح,Nimrah - Kahah,كحاح,Kahah,4,5
وادي الاحمر,Wadi Al-Ahmar,split,وادي الاحمر - شعب القرع,Wadi Al-Ahmar - Sha'b Al-Qara',وادي الاحمر,Wadi Al-Ahmar,11,13
الحبيه,Al-Habiyyah,split,الشقيراء - الحبيه,Al-Shuqayra - Al-Habiyyah,الحبيه,Al-Habiyyah,6,11
قحفة الحراز,Qahfat Al-Haraz,split,القشعه - قحفة الحراز,Al-Qash'ah - Qahfat Al-Haraz,قحفة الحراز,Qahfat Al-Haraz,11,15
المقيصع,Al-Muqaysi',split,المقيصع - القواسمه,Al-Muqaysi' - Al-Qawasima,المقيصع,Al-Muqaysi',7,11
عكشة,'Akashah,split,الطفيلي - عكشة,Al-Tufayli - 'Akashah,عكشة,'Akashah,4,8
رهبه,Rahbah,split,رهبه - الكدش,Rahbah - Al-Kadash,رهبه,Rahbah,4,6
الاقفية,al-Aqfiyah,split,حاضيه - الاقفية,Hadhiyah - al-Aqfiyah,الاقفية,al-Aqfiyah,7,10
الضويحه,Al-Dhuwayhah,split,العريش - الضويحه,Al-Arish - Al-Dhuwayhah,الضويحه,Al-Dhuwayhah,7,12
وادي المعقم,Wadi Al-Mu'aqam,split,وادي المعقم - جديمه,Wadi Al-Mu'aqam - Jadima,وادي المعقم,Wadi Al-Mu'aqam,11,15
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - شعب الفقيــه,Wadi Sa'adah - Sha'ab al-Faqih,وادي سعاده,Wadi Sa'adah,10,12
بني دريغم,Bani Drigham,split,بني دريغم - شعب الجبلي,Bani Drigham - Sha'b Al-Jabali,بني دريغم,Bani Drigham,9,12
المفرق,Al-Mafraq,split,الغرافي - المفرق,Al-Gharrafi - Al-Mafraq,المفرق,Al-Mafraq,6,9
جعاشي,Ja'ashi,split,جعاشي - القدارى,Ja'ashi - Al-Qadari,جعاشي,Ja'ashi,5,7
الحقل,Al-Haqal,split,الحقل - العشة,Al-Haqal - Al-Ashah,الحقل,Al-Haqal,5,8
الغيل,Al-Ghayl,split,الغيل - العصفوريه,Al-Ghayl - Al-Asfuriya,الغيل,Al-Ghayl,5,8
هيجة ضاوي,Hijah Dhawi,split,السويهره - هيجة ضاوي,Al-Suwayhirah - Hijah Dhawi,هيجة ضاوي,Hijah Dhawi,9,11
السويداء,Al-Suwaydah,split,الرباعنه - السويداء,Al-Raba'nah - Al-Suwaydah,السويداء,Al-Suwaydah,8,11
الودن,Al-Wadan,split,جسر رسيان - الودن,Rasian Bridge - Al-Wadan,الودن,Al-Wadan,5,8
بني حجاج,Bani Hajjaj,split,بني حجاج - المقلد,Bani Hajjaj - Al-Muqallad,بني حجاج,Bani Hajjaj,8,11
رهبه,Rahbah,original,,,رهبه,Rahbah,4,6
المعصرة,Al-Ma'sara,split,المعصرة - الذاري,Al-Ma'sara - Al-Dhari,المعصرة,Al-Ma'sara,7,10
يفرس,Yafrus,split,يفرس - الصناع,Yafrus - Al-Sina',يفرس,Yafrus,4,6
الكدحه,Al-Kadha,split,الكدحه - الجاهلي,Al-Kadha - Al-Jahili,الكدحه,Al-Kadha,6,8
جبل الحكيمه,Jabal Al-Hakimah,split,جبل الحكيمه - القرن,Jabal Al-Hakimah - Al-Qarn,جبل الحكيمه,Jabal Al-Hakimah,11,16
حصيب المهوق,Hasib Al-Mahouq,split,حصيب المهوق - لابح,Hasib Al-Mahouq - Labah,حصيب المهوق,Hasib Al-Mahouq,11,15
شعبو,Sha'bu,split,شعبو - الكوري,Sha'bu - Al-Kuri,شعبو,Sha'bu,4,6
المعطاب,Al-Ma'tab,split,بني حجاج - المعطاب,Bani Hajjaj - Al-Ma'tab,المعطاب,Al-Ma'tab,7,9
القاهر,Al-Qahir,split,غيل الحاضنه - القاهر,Ghayl Al-Hadina - Al-Qahir,القاهر,Al-Qahir,6,8
بخيته,Bakhitah,split,وادي المعقم - بخيته,Wadi Al-Mu'aqam - Bakhitah,بخيته,Bakhitah,5,8
الحرضة,Al-Harada,split,العفيرة - الحرضة,Al-Afira - Al-Harada,الحرضة,Al-Harada,6,9
اكمه الجيشي,Akmat Al-Jayshi,split,بني دريغم - اكمه الجيشي,Bani Drigham - Akmat Al-Jayshi,اكمه الجيشي,Akmat Al-Jayshi,11,15
مقدم راس,Muqaddam Ras,split,مقدم راس - الخيفه,Muqaddam Ras - Al-Khaifah,مقدم راس,Muqaddam Ras,8,12
النوبه,al-Nuba,split,وادي الشط - النوبه,Wadi al-Shatt - al-Nuba,النوبه,al-Nuba,6,7
الخنهه,Al-Khanah,split,الخنهه - الرحب,Al-Khanah - Al-Rahab,الخنهه,Al-Khanah,6,9
شلان,Shalan,split,السويهره - شلان,Al-Suwayhirah - Shalan,شلان,Shalan,4,6
العشه,Al-Asha,split,غيل الحاضنه - العشه,Ghayl Al-Hadina - Al-Asha,العشه,Al-Asha,5,7
المزانده,Al-Mazanda,split,المزانده - دمنة الشرف,Al-Mazanda - Damnat Al-Sharaf,المزانده,Al-Mazanda,8,10
الاعروق,al-'Aruq,split,الركز - الاعروق,al-Rukz - al-'Aruq,الاعروق,al-'Aruq,7,8
القحفه,Al-Qahfah,split,مقدم راس - القحفه,Muqaddam Ras - Al-Qahfah,القحفه,Al-Qahfah,6,9
العنذقي,Al-Andhaqi,split,وادي بكير - العنذقي,Wadi Bakir - Al-Andhaqi,العنذقي,Al-Andhaqi,7,10
حصب الماس,Hasab Al-Mas,split,الحيمه - حصب الماس,Al-Haymah - Hasab Al-Mas,حصب الماس,Hasab Al-Mas,9,12
المضـبه,Al-Madhbah,split,رهبه - المضـبه,Rahbah - Al-Madhbah,المضبه,Al-Madhbah,6,10
شعبة الـركز,Sha'bat al-Rukz,split,بني عامر - شعبة الـركز,Bani Amer - Sha'bat al-Rukz,شعبة الركز,Sha'bat al-Rukz,10,15
وادي الاحمر,Wadi Al-Ahmar,split,وادي الاحمر - المهدار,Wadi Al-Ahmar - Al-Mahdar,وادي الاحمر,Wadi Al-Ahmar,11,13
المعترض,Al-Mu'tarid,split,الحجفه - المعترض,Al-Hajfah - Al-Mu'tarid,المعترض,Al-Mu'tarid,7,11
القطان,Al-Qattan,split,الوحيز - القطان,Al-Wahiz - Al-Qattan,القطان,Al-Qattan,6,9
رهبه,Rahbah,split,رهبه - اكمة الحصة,Rahbah - Akmat Al-Hassa,رهبه,Rahbah,4,6
وادي مكسب,Wadi Makasab,split,وادي مكسب - حجفت,Wadi Makasab - Hajfat,وادي مكسب,Wadi Makasab,9,12
الركيب,Ar-Rakib,split,العفيرة - الركيب,Al-Afira - Ar-Rakib,الركيب,Ar-Rakib,6,8
حسى دبع,Hassi Daba,split,يختل - حسى دبع,Yakhtal - Hassi Daba,حسى دبع,Hassi Daba,7,10
الصنمه,Al-Sanmah,split,الصنمه - الزنح,Al-Sanmah - Al-Zanh,الصنمه,Al-Sanmah,6,9
البريح,Al-Barih,split,الشعيب - البريح,Al-Shuaib - Al-Barih,البريح,Al-Barih,6,8
المغدر,Al-Maghdar,split,السويداء - المغدر,Al-Suwayda' - Al-Maghdar,المغدر,Al-Maghdar,6,10
خذفان,Khadhfan,split,بني حجاج - خذفان,Bani Hajjaj - Khadhfan,خذفان,Khadhfan,5,8
العارضه,Al-'Arida,split,العارضه - ضبيره,Al-'Arida - Dhabira,العارضه,Al-'Arida,7,9
السليمة,Al-Salima,split,الشاذلية - السليمة,Al-Shadhiliyah - Al-Salima,السليمة,Al-Salima,7,9
يختل,Yakhtal,split,يختل - القعطبيه,Yakhtal - Al-Qatabiyah,يختل,Yakhtal,4,7
المعامرة,Al-Ma'amrah,split,المعامرة - الحفره,Al-Ma'amrah - Al-Hafra,المعامرة,Al-Ma'amrah,8,11
الركز,al-Rukz,split,الركز - العذير,al-Rukz - al-'Adhir,الركز,al-Rukz,5,7
بني علي,Bani Ali,split,بني علي - الديم,Bani Ali - Al-Deem,بني علي,Bani Ali,7,8
المطايا,Al-Mataya,split,السويداء - المطايا,Al-Suwayda' - Al-Mataya,المطايا,Al-Mataya,7,9
شعبو,Sha'bu,split,شعبو - حصب المقطار,Sha'bu - Hasab Al-Muqtar,شعبو,Sha'bu,4,6
جبل الحكيمه,Jabal al-Hakimah,split,جبل الحكيمه - الطفيلي,Jabal al-Hakimah - al-Tufaili,جبل الحكيمه,Jabal al-Hakimah,11,16
جبل الحكيمه,Jabal al-Hakimah,split,جبل الحكيمه - البرح,Jabal al-Hakimah - al-Barh,جبل الحكيمه,Jabal al-Hakimah,11,16
جهاد,Jihad,split,السفالية - جهاد,Al-Safaliyah - Jihad,جهاد,Jihad,4,5
المره العليا,Al-Murra Al-'Ulya,split,الوحيز - المره العليا,Al-Wahiz - Al-Murra Al-'Ulya,المره العليا,Al-Murra Al-'Ulya,12,17
الحمراء,Al-Hamra',split,الشقيراء - الحمراء,Al-Shaqira' - Al-Hamra',الحمراء,Al-Hamra',7,9
حمر,Hamr,split,حمر - الكبه,Hamr - Al-Kabba,حمر,Hamr,3,4
كمب فشو,Camp Fasho,split,الزهيرة - كمب فشو,Al-Zuhaira - Camp Fasho,كمب فشو,Camp Fasho,7,10
العقمه,Al-Aqmah,split,العقمه - القليعه,Al-Aqmah - Al-Qali'ah,العقمه,Al-Aqmah,6,8
الدويده,Al-Duwaida,split,جسر رسيان - الدويده,Rasian Bridge - Al-Duwaida,الدويده,Al-Duwaida,7,10
المحابيل,Al-Mahabil,split,الرجحه - المحابيل,Al-Rajhah - Al-Mahabil,المحابيل,Al-Mahabil,8,10
شعب البيرك,Sha'ab Al-Birk,split,الطوير - شعب البيرك,Al-Tuwair - Sha'ab Al-Birk,شعب البيرك,Sha'ab Al-Birk,10,14
الجروبه,Al-Jarubah,split,العقمه - الجروبه,Al-Aqmah - Al-Jarubah,الجروبه,Al-Jarubah,7,10
الدربنه,Al-Darbana,split,الهاملي - الدربنه,Al-Hamli - Al-Darbana,الدربنه,Al-Darbana,7,10
الشقيراء,Al-Shuqayra,split,الشقيراء - العقيده العليا,Al-Shuqayra - Al-'Aqidah Al-'Ulya,الشقيراء,Al-Shuqayra,8,11
الموبره,Al-Mawbarah,split,القشعه - الموبره,Al-Qash'ah - Al-Mawbarah,الموبره,Al-Mawbarah,7,11
المعامرة,Al-Ma'amara,split,المعامرة - الجربه,Al-Ma'amara - Al-Jarba,المعامرة,Al-Ma'amara,8,11
بني دريغم,Bani Drigham,split,بني دريغم - المشقبه,Bani Drigham - Al-Mashqaba,بني دريغم,Bani Drigham,9,12
الجليفيه,Al-Jalifiya,split,بوميه - الجليفيه,Bumiya - Al-Jalifiya,الجليفيه,Al-Jalifiya,8,11
السحنه,Al-sihnah,split,يعاقبه - السحنه,Yaaqaba - Al-sihnah,السحنه,Al-sihnah,6,9
الغيل,Al-Ghayl,split,الغيل - المجارب,Al-Ghayl - Al-Majarib,الغيل,Al-Ghayl,5,8
قبه الفقيه,Qubbat Al-Faqih,split,بني دريغم - قبه الفقيه,Bani Drigham - Qubbat Al-Faqih,قبه الفقيه,Qubbat Al-Faqih,10,15
المبذل,Al-Mabdhil,split,المبذل - النقاحه,Al-Mabdhil - Al-Naqahah,المبذل,Al-Mabdhil,6,10
الملاحيه,Al-Malahiya,split,الشقيراء - الملاحيه,Al-Shaqira' - Al-Malahiya,الملاحيه,Al-Malahiya,8,11
بني حجاج,Bani Hajjaj,split,بني حجاج - الجبانه,Bani Hajjaj - Al-Jubana,بني حجاج,Bani Hajjaj,8,11
اللجيعه العليا,Al-Laji'ah Al-Ulya,split,شعبو - اللجيعه العليا,Sha'bo - Al-Laji'ah Al-Ulya,اللجيعه العليا,Al-Laji'ah Al-Ulya,14,18
المقلب,Al-Maqlab,split,المقلب - الكدن,Al-Maqlab - Al-Kadan,المقلب,Al-Maqlab,6,9
الكويحه,Al-Kuwayhah,split,الكويحه - الجبانة,Al-Kuwayhah - Al-Jabana,الكويحه,Al-Kuwayhah,7,11
غيل الحاضنه,Ghayl Al-Hadina,split,غيل الحاضنه - الحمراء,Ghayl Al-Hadina - Al-Hamra,غيل الحاضنه,Ghayl Al-Hadina,11,15
المرتفعات,Al-Murtafa'at,split,بني حجاج - المرتفعات,Bani Hajjaj - Al-Murtafa'at,المرتفعات,Al-Murtafa'at,9,13
النوازل,Al-Nawazil,split,النوازل - القبه,Al-Nawazil - Al-Qubba,النوازل,Al-Nawazil,7,10
ذا العبار,Tha Al-Abar,split,القطين - ذا العبار,AL-Qateen - Tha Al-Abar,ذا العبار,Tha Al-Abar,9,11
العقمه,Al-Aqmah,split,العقمه - المضيلع,Al-Aqmah - Al-Mudayli',العقمه,Al-Aqmah,6,8
الخنهه,Al-Khanah,split,الخنهه - العقير,Al-Khanah - Al-Aqir,الخنهه,Al-Khanah,6,9
الصنمه,Al-Sanamah,split,بني عامر - الصنمه,Bani Amer - Al-Sanamah,الصنمه,Al-Sanamah,6,10
الحياجي,Al-Hayaji,split,الحياجي - قشعة السبيل,Al-Hayaji - Qash'at Al-Sabil,الحياجي,Al-Hayaji,7,9
مبتعه,Mubta'a,split,مبتعه - المحابيه,Mubta'a - Al-Mahabiya,مبتعه,Mubta'a,5,7
رداع - القحفة,Rada-Al Qahfah,original,,,رداع - القحفة,Rada-Al Qahfah,13,14
المعلم,Al-Mu'allim,split,الغوبقه - المعلم,Al-Ghubaqah - Al-Mu'allim,المعلم,Al-Mu'allim,6,11
شرح,Sharh,original,,,شرح,Sharh,3,5
سدوح,Suduh,split,الردف - سدوح,Al-Radf - Suduh,سدوح,Suduh,4,5
ثواب,Thawab,split,حاضيه - ثواب,Hadhiyah - Thawab,ثواب,Thawab,4,6
عينان,'Aynan,split,الصنمه - عينان,Al-Sunmah - 'Aynan,عينان,'Aynan,5,6
السبله,Al-Sabla,split,العريش - السبله,Al-Arish - Al-Sabla,السبله,Al-Sabla,6,8
دار جيهلان,Dar Jihlan,split,المزانده - دار جيهلان,Al-Mazanda - Dar Jihlan,دار جيهلان,Dar Jihlan,10,10
الاكمـه,Al-Akma,split,المغدر - الاكمـه,Al-Maghdar - Al-Akma,الاكمه,Al-Akma,6,7
العقبه,Al-Aqaba,split,الغيل - العقبه,Al-Ghayl - Al-Aqaba,العقبه,Al-Aqaba,6,8
المشراح,Al-Mashrah,split,بني عامر - المشراح,Bani Amer - Al-Mashrah,المشراح,Al-Mashrah,7,10
شبيه,Shabih,split,شبيه - الروبق,Shabih - Al-Rawbaq,شبيه,Shabih,4,6
موزع,Mawza',split,موزع - المداره,Mawza' - Al-Madarah,موزع,Mawza',4,6
الراكبه,Al-rakbah,split,السويهره - الراكبه,Al Suwayhira - Al-rakbah,الراكبه,Al-rakbah,7,9
المقطرن,Al-Muqatran,split,القحفه - المقطرن,Al-Qahfah - Al-Muqatran,المقطرن,Al-Muqatran,7,11
الجرشية,al-Jarshiyyah,split,جحزر - الجرشية,Jahzar - al-Jarshiyyah,الجرشية,al-Jarshiyyah,7,13
مبتعه,Mabta'ah,split,مبتعه - الداخله,Mabta'ah - Al-Dakhla,مبتعه,Mabta'ah,5,8
خرانه,Kharanah,split,حنه العليا - خرانه,Hanna Al-Ulya - Kharanah,خرانه,Kharanah,5,8
المعصرة,Al-Ma'sara,split,المعصرة - الدار,Al-Ma'sara - Al-Dar,المعصرة,Al-Ma'sara,7,10
الشعور,Al-Shu'ur,split,جبل الحكيمه - الشعور,Jabal Al-Hakimah - Al-Shu'ur,الشعور,Al-Shu'ur,6,9
النشه,Al-Nashah,split,الحصيب - النشه,Al-Hasib - Al-Nashah,النشه,Al-Nashah,5,9
القطين,AL-Qateen,split,القطين - الاشراف,AL-Qateen - Al-Ashraf,القطين,AL-Qateen,6,9
بني مليك,Bani Malik,split,بني مليك - مخرور,Bani Malik - Makhrur,بني مليك,Bani Malik,8,10
الباطن,Al-Batin,split,حنه العليا - الباطن,Hanna Al-Ulya - Al-Batin,الباطن,Al-Batin,6,8
الزوائد,Az-Zawa'id,split,واحجه - الزوائد,Wahjah - Az-Zawa'id,الزوايد,Az-Zawa'id,7,10
الصوفه,Al-Sufah,split,العريش - الصوفه,Al-Arish - Al-Sufah,الصوفه,Al-Sufah,6,8
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - الاشعاب,Wadi Sa'adah - al-Ash'ab,وادي سعاده,Wadi Sa'adah,10,12
وادي بكير,Wadi Bakir,split,وادي بكير - حجيج,Wadi Bakir - Hajij,وادي بكير,Wadi Bakir,9,10
الروقين,Al-Ruqayn,split,العريش - الروقين,Al-Arish - Al-Ruqayn,الروقين,Al-Ruqayn,7,9
بعيلل,Ba'ilal,split,الزغبري - بعيلل,Al-Zaghbari - Ba'ilal,بعيلل,Ba'ilal,5,7
العقيده السفلى,Al-'Aqidah Al-Sufla,split,الشقيراء - العقيده السفلى,Al-Shuqayra - Al-'Aqidah Al-Sufla,العقيده السفلى,Al-'Aqidah Al-Sufla,14,19
بوميه,Bumiya,split,بوميه - كيزه,Bumiya - Kiza,بوميه,Bumiya,5,6
السبعه,Al-Sab’a,split,يعاقبه - السبعه,Yaaqaba - Al-Sab’a,السبعه,Al-Sab’a,6,8
ذي عيان,Dhi Ayan,split,حنه العليا - ذي عيان,Hanna Al-Ulya - Dhi Ayan,ذي عيان,Dhi Ayan,7,8
بني الحكم,Bani Al-Hakam,split,بني الحكم - الحريق,Bani Al-Hakam - Al-Hariq,بني الحكم,Bani Al-Hakam,9,13
العارضه,Al-Ardah,split,وادي سعاده - العارضه,Wadi Sa'adah - Al-Ardah,العارضه,Al-Ardah,7,8
حنه العليا,Hannah Al-Ulya,split,حنه العليا - حجفار,Hannah Al-Ulya - Hajfar,حنه العليا,Hannah Al-Ulya,10,14
الزيديه,Al-Zaidiyah,split,الكربه - الزيديه,Al-Karbah - Al-Zaidiyah,الزيديه,Al-Zaidiyah,7,11
الدار,Al-Dar,split,العارضه - الدار,Al-'Arida - Al-Dar,الدار,Al-Dar,5,6
الردف,Al-Radf,split,الردف - النشيم,Al-Radf - Al-Nashim,الردف,Al-Radf,5,7
العشه,Al-'Ash'ah,split,العقمه - العشه,Al-Aqmah - Al-'Ash'ah,العشه,Al-'Ash'ah,5,10
الشيخ,Al-Shaykh,split,موزع - الشيخ,Mawza' - Al-Shaykh,الشيخ,Al-Shaykh,5,9
الشبارة,Al-Shabara,split,الشبارة - العضيلة,Al-Shabara - Al-Adhila,الشبارة,Al-Shabara,7,10
جبل عكى,Jabal Aka,split,الغرافي - جبل عكى,Al-Gharrafi - Jabal Aka,جبل عكى,Jabal Aka,7,9
الاكمة,Al-Akma,split,النوازل - الاكمة,Al-Nawazil - Al-Akma,الاكمة,Al-Akma,6,7
العبدلي,Al-Abdali,split,الكدحه - العبدلي,Al-Kadha - Al-Abdali,العبدلي,Al-Abdali,7,9
